Date,Actual,RandomForest,XGBoost
2020-10-01,22121,86664.83888888889,4569.814
2020-11-01,50131,92916.46222222222,43207.867
2020-12-01,51312,89457.80333333333,43313.484
2021-01-01,41478,99789.12861111111,47993.688
2021-02-01,5639,196160.64961111112,30005.527
2021-03-01,9819,202861.8790277778,40405.133
2021-04-01,8341,196233.77902777778,84361.7
2021-05-01,8125,192117.98861111113,78355.3
2021-06-01,7982,189841.49194444445,76540.94
2021-07-01,39712,191480.23736111113,97064.51
2021-08-01,20405,191803.07736111112,87558.41
2021-09-01,14295,191326.65027777778,66277.52
2021-10-01,16616,192301.3773611111,72872.75
2021-11-01,15582,192065.04069444444,67941.67
2021-12-01,7934,190526.32861111112,73296.984
2022-01-01,13534,198578.47211111113,86589.78
2022-02-01,11997,199734.5187777778,45341.195
2022-03-01,55297,202861.8790277778,41283.977
2022-04-01,112200,196217.7223611111,84361.7
2022-05-01,117390,192081.0286111111,78355.3
2022-06-01,100343,189801.45527777777,76540.94
2022-07-01,128378,191288.14402777777,97064.51
2022-08-01,153569,191627.71402777778,87558.41
2022-09-01,186519,197494.24361111113,66277.52
2022-10-01,473957,208450.33736111113,72872.75
2022-11-01,902922,421589.1841992229,238916.33
2022-12-01,1343008,697551.0325,299744.84
2023-01-01,1468510,1064875.62,498460.22
2023-02-01,1448831,1441670.372777778,785134.7
2023-03-01,1772302,1502393.8966666667,846531.25
2023-04-01,1891830,1547982.4166666667,1.0525174e+06
2023-05-01,1849999,1583005.7594444444,1.02518e+06
2023-06-01,2036789,1615746.85,1.0615299e+06
2023-07-01,2275387,1624918.9,1.0639986e+06
2023-08-01,2117080,1736828.6966666668,1.03858156e+06
2023-09-01,2135218,1917668.85,1.1769795e+06
2023-10-01,2453904,2176352.68,1.2354611e+06
2023-11-01,2389530,2254334.74,1.5142306e+06
2023-12-01,2690625,2375202.816666667,1.9080469e+06
2024-01-01,2648809,2442537.236,2.0399619e+06
2024-02-01,2749893,2489689.61,1.914488e+06
2024-03-01,3014441,2524456.57,2.0083416e+06
2024-04-01,2952334,2563690.0233333334,2.108071e+06
2024-05-01,2971249,2554902.066666667,2.1350415e+06
2024-06-01,3091791,2615171.06,2.181422e+06
2024-07-01,3238181,2666084.2826666664,2.2201975e+06
2024-08-01,2883408,2545500.743333333,2.0819044e+06
2024-09-01,2810445,2464172.0933333333,1.8464549e+06
2024-10-01,3228398,2606218.8436666667,2.10698e+06
2024-11-01,3122370,2595256.2653333335,2.115908e+06
2024-12-01,3436527,2744839.81,2.339126e+06
